id,nume_ro,nume_en,categorie,stare_preparare,kcal,proteine_g,carbohidrati_g,grasimi_g,fibre_g,zaharuri_g,grasimi_saturate_g,sodiu_mg,portii,stare,sursa_tip,sursa_referinta,sursa_url,sursa_licenta,sursa_versiune,preluat_la,tara,note
somon-de-crescatorie-gatit,"Somon de Atlantic, de crescătorie, gătit la cuptor sau grătar","Fish, salmon, Atlantic, farmed, cooked, dry heat",peste-si-fructe-de-mare,gatit,206.0,22.1,0.0,12.35,0.0,0.0,2.397,61.0,1 file = 178.0 g,verificat,usda,"FDC ID 175168: Fish, salmon, Atlantic, farmed, cooked, dry heat",https://fdc.nal.usda.gov/food-details/175168/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
miere,Miere,Honey,dulciuri,asa-cum-se-consuma,304.0,0.3,82.4,0.0,0.2,82.12,0.0,4.0,1 lingură = 21.0 g,verificat,usda,FDC ID 169640: Honey,https://fdc.nal.usda.gov/food-details/169640/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
zahar,Zahăr,"Sugars, granulated",dulciuri,asa-cum-se-consuma,387.0,0.0,99.98,0.0,0.0,99.8,0.0,1.0,1 linguriță = 4.2 g; 1 cub = 2.3 g,verificat,usda,"FDC ID 169655: Sugars, granulated",https://fdc.nal.usda.gov/food-details/169655/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
morcovi-cruzi,"Morcovi, cruzi","Carrots, raw",legume,crud,41.0,0.93,9.58,0.24,2.8,4.74,0.032,69.0,"1 cană, rași = 110.0 g",verificat,usda,"FDC ID 170393: Carrots, raw",https://fdc.nal.usda.gov/food-details/170393/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
ceapa-cruda,"Ceapă, crudă","Onions, raw",legume,crud,40.0,1.1,9.34,0.1,1.7,4.24,0.042,4.0,"1 ceapă medie = 14.0 g; 1 cană, tocată = 160.0 g",verificat,usda,"FDC ID 170000: Onions, raw",https://fdc.nal.usda.gov/food-details/170000/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,
spanac-crud,"Spanac, crud","Spinach, raw",legume,crud,23.0,2.86,3.63,0.39,2.2,0.42,0.063,79.0,1 cană = 30.0 g,verificat,usda,"FDC ID 168462: Spinach, raw",https://fdc.nal.usda.gov/food-details/168462/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
broccoli-crud,"Broccoli, crud","Broccoli, raw",legume,crud,34.0,2.82,6.64,0.37,2.6,1.7,0.114,33.0,"1 cană, tocat = 44.0 g",verificat,usda,"FDC ID 170379: Broccoli, raw",https://fdc.nal.usda.gov/food-details/170379/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
avocado,Avocado,"Avocados, raw, all commercial varieties",fructe,crud,160.0,2.0,8.53,14.66,6.7,0.66,2.126,7.0,"1 cană, cuburi = 150.0 g",verificat,usda,"FDC ID 171705: Avocados, raw, all commercial varieties",https://fdc.nal.usda.gov/food-details/171705/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
varza-cruda,"Varză, crudă","Cabbage, raw",legume,crud,25.0,1.28,5.8,0.1,2.5,3.2,0.034,18.0,"1 cană, tocată = 89.0 g",verificat,usda,"FDC ID 169975: Cabbage, raw",https://fdc.nal.usda.gov/food-details/169975/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
ardei-gras-rosu-crud,"Ardei gras roșu, crud","Peppers, sweet, red, raw",legume,crud,26.0,0.99,6.03,0.3,2.1,4.2,0.059,4.0,1 ardei mare = 164.0 g,verificat,usda,"FDC ID 170108: Peppers, sweet, red, raw",https://fdc.nal.usda.gov/food-details/170108/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
capsuni-crude,"Căpșuni, crude","Strawberries, raw",fructe,crud,32.0,0.67,7.68,0.3,2.0,4.89,0.015,1.0,"1 căpșună mare = 18.0 g; 1 cană, felii = 166.0 g",verificat,usda,"FDC ID 167762: Strawberries, raw",https://fdc.nal.usda.gov/food-details/167762/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
usturoi-crud,"Usturoi, crud","Garlic, raw",legume,crud,149.0,6.36,33.06,0.5,2.1,1.0,0.089,17.0,1 cățel = 3.0 g,verificat,usda,"FDC ID 169230: Garlic, raw",https://fdc.nal.usda.gov/food-details/169230/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
lamaie-fara-coaja,"Lămâie, fără coajă","Lemons, raw, without peel",fructe,crud,29.0,1.1,9.32,0.3,2.8,2.5,0.039,2.0,1 lămâie medie = 58.0 g,verificat,usda,"FDC ID 167746: Lemons, raw, without peel",https://fdc.nal.usda.gov/food-details/167746/nutrients,public-domain,"SR Legacy, publicat 4/1/2019",2026-09-20,,Energia din fișa USDA folosește factori Atwater specifici alimentului și tratează separat fibrele; de aceea diferă de calculul general 4/4/9 kcal per gram.
